AÑO,MES,UBIGEO_HECHO,DPTO_HECHO,PROV_HECHO,DIST_HECHO,SEXO,RANGO_EDAD,NACIONALIDAD,CANTIDAD
2020,2,40102,AREQUIPA,AREQUIPA,ALTO SELVA ALEGRE,M,6-11 AÑOS,PERÚ,1
2022,1,60109,CAJAMARCA,CAJAMARCA,MAGDALENA,F,12-17 AÑOS,PERÚ,1
2021,11,200601,PIURA,SULLANA,SULLANA,F,12-17 AÑOS,PERÚ,6
2023,6,80901,CUSCO,LA CONVENCION,SANTA ANA,F,6-11 AÑOS,PERÚ,1
2019,3,40303,AREQUIPA,CARAVELI,ATICO,F,12-17 AÑOS,PERÚ,2
2019,8,10204,AMAZONAS,BAGUA,EL PARCO,F,18-29 AÑOS,PERÚ,1
2020,12,10203,AMAZONAS,BAGUA,COPALLIN,F,12-17 AÑOS,PERÚ,1
2020,2,150115,LIMA METROPOLITANA,LIMA,LA VICTORIA,F,12-17 AÑOS,PERÚ,9
2019,11,70101,CALLAO,CALLAO,CALLAO,M,60 A MAS AÑOS,PERÚ,3
2023,9,150103,LIMA METROPOLITANA,LIMA,ATE,F,18-29 AÑOS,PERÚ,2
2019,7,150103,LIMA METROPOLITANA,LIMA,ATE,M,12-17 AÑOS,VENEZUELA,1
2024,11,150101,LIMA METROPOLITANA,LIMA,LIMA,F,18-29 AÑOS,PERÚ,8
2019,7,200207,PIURA,AYABACA,PAIMAS,F,12-17 AÑOS,PERÚ,1
2023,5,211101,PUNO,SAN ROMAN,JULIACA,M,30-59 AÑOS,PERÚ,2
2023,2,140106,LAMBAYEQUE,CHICLAYO,LA VICTORIA,M,30-59 AÑOS,PERÚ,1
2025,6,140201,LAMBAYEQUE,FERREÑAFE,FERREÑAFE,M,30-59 AÑOS,PERÚ,1
2024,12,80701,CUSCO,CHUMBIVILCAS,SANTO TOMAS,M,12-17 AÑOS,PERÚ,1
2023,11,220101,SAN MARTÍN,MOYOBAMBA,MOYOBAMBA,F,12-17 AÑOS,PERÚ,1
2023,11,50404,AYACUCHO,HUANTA,IGUAIN,F,18-29 AÑOS,PERÚ,1
2024,12,80105,CUSCO,CUSCO,SAN SEBASTIAN,F,12-17 AÑOS,PERÚ,5
2023,11,130104,LA LIBERTAD,TRUJILLO,HUANCHACO,M,12-17 AÑOS,PERÚ,1
2025,2,150118,LIMA METROPOLITANA,LIMA,LURIGANCHO - CHOSICA,F,18-29 AÑOS,PERÚ,1
2024,12,150137,LIMA METROPOLITANA,LIMA,SANTA ANITA,F,30-59 AÑOS,PERÚ,3
2020,2,150105,LIMA METROPOLITANA,LIMA,BREÑA,F,12-17 AÑOS,PERÚ,1
2023,9,150101,LIMA METROPOLITANA,LIMA,LIMA,F,30-59 AÑOS,PERÚ,4
2022,9,120607,JUNÍN,SATIPO,RIO NEGRO,M,12-17 AÑOS,PERÚ,1
2024,1,40701,AREQUIPA,ISLAY,MOLLENDO,M,0-5 AÑOS,PERÚ,1
